imdbID,movieTitle,sceneAddress,sceneDescription,sceneLat,sceneLon
tt0731978,A Touch of Frost - Unknown Soldiers (TV Episode 1996),"Ripon, North Yorkshire, England, UK",Military Barracks,54.1361346,-1.5237756
tt0676163,Agatha Christie's Poirot - The Adventure of the Cheap Flat (TV Episode 1990),"Twickenham Studios, London, England, UK",studio,51.455612,-0.31888
tt2397619,American Masters - Woody Allen: A Documentary (TV Episode 2011),"London, England, UK","Locartion shooting for ""Match Point""",51.5073509,-0.1277583
tt0471669,E! True Hollywood Story - Winona Ryder (TV Episode 2002),"London, England, UK",interview Nigel Goodall interview,51.5073509,-0.1277583
tt0650985,Monty Python's Flying Circus - Mr. and Mrs. Brian Norris' Ford Popular (TV Episode 1972),"Teddington Lock, Teddington, Middlesex, England, UK",Fish-Slapping Dance sketch,51.4270239,-0.3219219
tt0672485,Peep Show - The Man Show (TV Episode 2004),"Crystal Palace Park, Penge, London, England, UK",bungee jump,51.4218504,-0.0723853
tt0672485,Peep Show - The Man Show (TV Episode 2004),"The Oval Tavern - 131 Oval Road, Croydon, London, England, UK",establishing shots,51.3782748,-0.0876033
tt0672485,Peep Show - The Man Show (TV Episode 2004),"WS Atkins Woodcote Grove, Ashley Rd, Epsom, Surrey, England, UK",JLB Credit interiors,51.3249543,-0.2651056
tt0706384,Spaced - Battles (TV Episode 1999),"Myddleton Road, Wood Green, London, England, UK",childhood flashback scenes,51.6063871,-0.1155546
tt0706384,Spaced - Battles (TV Episode 1999),"The Corrib Rest - 76 Salusbury Road, Queen's Park, London, England, UK",Tim's flashback of him with Sarah and Duane,51.5371117,-0.2068523
tt1134089,The Adam and Joe Show - Episode #2.2 (TV Episode 1997),"Royal Albert Hall, South Kensington, London, England, UK",Shine spoof,51.5009088,-0.177366
tt1134089,The Adam and Joe Show - Episode #2.2 (TV Episode 1997),"Royal College of Music, Prince Consort Road, South Kensington, London, England, UK",Shine spoof,51.4994415,-0.1770874
tt0653186,The Muppet Show - Sylvester Stallone (TV Episode 1979),"BBC Elstree Centre/ATV Studios, Borehamwood, Hertfordshire, England, UK",studio,51.6588268,-0.2754253
tt3036276,Top Gear - Episode #20.2 (TV Episode 2013),"BBC Television Centre, Wood Lane, Shepherd's Bush, London, England, UK",motorbike vs. freerunners segment,51.5100255,-0.2268465
tt1427333,Very Important Pennis - Very Important Pennis: Part 1 (TV Episode 1996),"Guildhall Library, Aldermanbury, London, England, UK",Dennis meets Kriss Akabusi,51.515728,-0.09298
tt1427333,Very Important Pennis - Very Important Pennis: Part 1 (TV Episode 1996),"Planet Hollywood - 57-60 Haymarket, St Albans House, St James's, London, England, UK","Dennis meets ""Mr Blobby""",51.5090663,-0.1325735
tt0211181,102 Dalmatians (2000),"40 Brunswick Gardens, Kensington, London, England, UK",Thief falls down from window,51.5066774,-0.1934599
tt0038279,13 Rue Madeleine (1946),"Canterbury, Kent, England, UK",Shown as London in 'news reel',51.280233,1.0789089
tt0450385,1408 (2007),"The Reform Club, Pall Mall, St. James's, London, England, UK",lobby of Dolphin Hotel,51.506551,-0.1334814
tt0450385,1408 (2007),"Underwater Stage, Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",water scenes,51.5480318,-0.5349938
tt0103594,1492: Conquest of Paradise (1992),"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",studio,51.5474923,-0.5346549
tt0087803,1984 (1984),"Alexandra Palace, Alexandra Palace Way, Muswell Hill, London, England, UK", Airstrip One,51.5946521,-0.1297575
tt0087803,1984 (1984),"Devizes, Wiltshire, England, UK",The Roundway,51.3489069,-1.994828
tt0087803,1984 (1984),"Beckton Gasworks, Beckton, London, England, UK",flashback sequences,51.5143254,0.0770382
tt0087803,1984 (1984),"Shepperton Studios, Shepperton, Surrey, England, UK",studio,51.4066417,-0.4643616
tt0087803,1984 (1984),"Muswell Hill, London, England, UK",Alexandra Palace,51.5902193,-0.1393719
tt0087803,1984 (1984),"Wood Green, London, England, UK",Alexandra Palace,51.5964823,-0.1089432
tt0087803,1984 (1984),"RAF Hullavington, Chippenham, Wiltshire, England, UK",Opening scenes,51.5297513,-2.1380014
tt0062622,2001: A Space Odyssey (1968),"Shepperton Studios, Shepperton, Surrey, England, UK",studio,51.4066417,-0.4643616
tt0463854,28 Weeks Later (2007),"Aldwych Underground Station, Aldwych, Holborn, London, England, UK",running down track,51.5120836,-0.1160109
tt0463854,28 Weeks Later (2007),"Millennium Stadium, Cardiff, South Glamorgan, Wales, UK",as Wembley Stadium,51.4782085,-3.1826341
tt0463854,28 Weeks Later (2007),"Dover, Kent, England, UK",aerial shots,51.1278758,1.3134027
tt0075784,A Bridge Too Far (1977),"Twickenham Film Studios, St Margarets, Twickenham, Middlesex, England, UK",studio,51.455612,-0.31888
tt0066921,A Clockwork Orange (1971),"Elstree, Hertfordshire, England, UK", Linear North,51.644142,-0.298193
tt0066921,A Clockwork Orange (1971),"Binsey Walk, Southmere Lake, Thamesmead South, London, England, UK",Alex puts Dim in water,51.498803,0.1221915
tt0066921,A Clockwork Orange (1971),"Brunel University, Uxbridge, Middlesex, England, UK",Ludovico Medical Facility,51.5331581,-0.4692108
tt0066921,A Clockwork Orange (1971),"Wandsworth Bridge Roundabout, Wandsworth, London, England, UK",underpass where the tramp is attacked,51.4682389,-0.1908327
tt0066921,A Clockwork Orange (1971),"Bricket Wood, Hertfordshire, England, UK",Peartree Woods on the Viscount Knutsford Estate - Alex is beaten up by police,51.7073923,-0.366965
tt0066921,A Clockwork Orange (1971),"Chelsea Drugstore, Kings Road, Chelsea, London, England, UK",record shop,51.4898049,-0.1627837
tt0066921,A Clockwork Orange (1971),"Blenheim Mews, Shenley, Hertfordshire, England, UK",Cat Lady,51.6952918,-0.2912382
tt0066921,A Clockwork Orange (1971),"Manor Lodge School, Rectory Lane, Ridge Hill, Shenley, Hertfordshire, England, UK",Catlady's house,51.706375,-0.261847
tt0066921,A Clockwork Orange (1971),"Taggs Island, Kingston-upon-Thames, London, England, UK",Billyboy gang fight,51.4091584,-0.3519559
tt0066921,A Clockwork Orange (1971),"Bullhead Road, Elstree Studios, Borehamwood, Hertfordshire, England, UK",Korova Milk Bar/prison check in/F. Alexander's bathroom and hallway,51.6580868,-0.269287
tt0066921,A Clockwork Orange (1971),"Princess Alexandra Hospital, Harlow, Essex, England, UK",hospital scene at the end of the film,51.771343,0.0863035
